ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin,outlier_column
Second Class,Consumer,United States,Henderson,Kentucky,42420.0,South,Furniture,Chairs,731.94,3.0,0.0,219.582,0.3,sales
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,Furniture,Tables,957.5775,5.0,0.45,-383.031,-0.4,sales
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,907.152,6.0,0.2,90.7152,0.09999999999999999,sales
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Furniture,Tables,1706.184,9.0,0.2,85.3092,0.05,sales
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,911.424,4.0,0.2,68.3568,0.07500000000000001,sales
Standard Class,Consumer,United States,Madison,Wisconsin,53711.0,Central,Office Supplies,Storage,665.88,6.0,0.0,13.3176,0.02,sales
Standard Class,Consumer,United States,Orem,Utah,84057.0,West,Furniture,Tables,1044.63,3.0,0.0,240.2649,0.22999999999999998,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Bookcases,3083.43,7.0,0.5,-1665.0522,-0.54,sales
First Class,Corporate,United States,Richardson,Texas,75080.0,Central,Technology,Phones,1097.544,7.0,0.2,123.4737,0.11249999999999999,sales
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Bookcases,532.3992,3.0,0.32,-46.9764,-0.08823529411764706,sales
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Technology,Phones,1029.95,5.0,0.0,298.6855,0.29,sales
Standard Class,Corporate,United States,Gilbert,Arizona,85234.0,West,Office Supplies,Art,1113.024,8.0,0.2,111.3024,0.10000000000000002,sales
Standard Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Furniture,Chairs,831.936,8.0,0.2,-114.3912,-0.13749999999999998,sales
Standard Class,Consumer,United States,Seattle,Washington,98103.0,West,Furniture,Tables,787.53,3.0,0.0,165.3813,0.21000000000000002,sales
Second Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Chairs,600.558,3.0,0.3,-8.5794,-0.014285714285714285,sales
Standard Class,Consumer,United States,Bloomington,Illinois,61701.0,Central,Furniture,Tables,617.7,6.0,0.5,-407.682,-0.66,sales
Standard Class,Consumer,United States,Independence,Missouri,64055.0,Central,Office Supplies,Appliances,839.43,3.0,0.0,218.2518,0.26,sales
Standard Class,Consumer,United States,Pasadena,California,91104.0,West,Office Supplies,Storage,671.93,7.0,0.0,20.1579,0.030000000000000006,sales
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Furniture,Chairs,1951.84,8.0,0.0,585.552,0.30000000000000004,sales
Standard Class,Consumer,United States,Edmond,Oklahoma,73034.0,Central,Technology,Phones,944.93,7.0,0.0,236.2325,0.25,sales
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Technology,Machines,8159.952,8.0,0.4,-1359.992,-0.16666666666666666,sales
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Furniture,Chairs,1740.06,9.0,0.3,-24.858,-0.014285714285714287,sales
Second Class,Home Office,United States,Monroe,Louisiana,71203.0,South,Technology,Phones,503.96,4.0,0.0,131.0296,0.26,sales
First Class,Home Office,United States,New York City,New York,10035.0,East,Furniture,Bookcases,899.136,4.0,0.2,112.392,0.125,sales
First Class,Home Office,United States,New York City,New York,10035.0,East,Furniture,Bookcases,626.352,3.0,0.2,46.9764,0.075,sales
Standard Class,Corporate,United States,Medina,Ohio,44256.0,East,Technology,Machines,1188.0,9.0,0.7,-950.4,-0.7999999999999999,sales
Standard Class,Corporate,United States,Detroit,Michigan,48227.0,Central,Furniture,Tables,622.45,5.0,0.0,136.939,0.21999999999999997,sales
Standard Class,Home Office,United States,Tampa,Florida,33614.0,South,Furniture,Tables,620.6145,3.0,0.45,-248.2458,-0.39999999999999997,sales
Standard Class,Home Office,United States,Tampa,Florida,33614.0,South,Technology,Accessories,617.976,3.0,0.2,-7.7247,-0.0125,sales
Second Class,Home Office,United States,Lakeville,Minnesota,55044.0,Central,Furniture,Chairs,2001.86,7.0,0.0,580.5394,0.29000000000000004,sales
Second Class,Home Office,United States,Lakeville,Minnesota,55044.0,Central,Office Supplies,Appliances,1503.25,5.0,0.0,496.0725,0.33,sales
Standard Class,Consumer,United States,San Diego,California,92037.0,West,Technology,Accessories,3347.37,13.0,0.0,636.0003,0.19000000000000003,sales
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Technology,Phones,647.904,6.0,0.2,56.6916,0.08750000000000001,sales
Second Class,Corporate,United States,Houston,Texas,77036.0,Central,Technology,Machines,3059.982,3.0,0.4,-509.997,-0.16666666666666669,sales
Second Class,Corporate,United States,Houston,Texas,77036.0,Central,Technology,Machines,2519.958,7.0,0.4,-251.9958,-0.09999999999999999,sales
Second Class,Corporate,United States,San Francisco,California,94110.0,West,Office Supplies,Storage,725.84,4.0,0.0,210.4936,0.29,sales
Second Class,Consumer,United States,Houston,Texas,77070.0,Central,Technology,Phones,1114.4,7.0,0.2,376.11,0.33749999999999997,sales
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Furniture,Tables,1038.84,5.0,0.2,51.942,0.05,sales
Second Class,Corporate,United States,Tamarac,Florida,33319.0,South,Office Supplies,Supplies,961.48,5.0,0.2,-204.3145,-0.2125,sales
Standard Class,Corporate,United States,Belleville,New Jersey,7109.0,East,Office Supplies,Storage,1082.48,8.0,0.0,10.8248,0.01,sales
Standard Class,Home Office,United States,New York City,New York,10024.0,East,Technology,Machines,3991.98,2.0,0.0,1995.99,0.5,sales
First Class,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,Furniture,Chairs,786.744,4.0,0.3,-258.5016,-0.32857142857142857,sales
Second Class,Consumer,United States,Los Angeles,California,90045.0,West,Technology,Copiers,959.984,2.0,0.2,335.9944,0.35,sales
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Furniture,Tables,698.352,3.0,0.2,-17.4588,-0.025,sales
